seed, n_targets, budget, horizon, do_regret_poaching, do_regret_logging, baseline_middle_regret_poaching, baseline_middle_regret_logging, baseline_random_regret_poaching, baseline_random_regret_logging, baseline_maximin_regret_poaching, baseline_maximin_regret_logging, baseline_RARL_regret_regret_poaching, baseline_RARL_regret_regret_logging, n_eval, agent_n_train, nature_n_train, max_epochs, n_perturb, max_interval, wildlife, deterrence, use_wake, freeze_policy_step, freeze_a_step, middle_time, maximin_time, do_time, objective, balance_attract, time, is_toy, is_paws
0, 4, 2, 3, 0.15681, 0.09424, 0.15973, 0.25873, 0.96805, 0.97954, 0.38637, 0.30549, 0.44537, , 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.22032499313354492, 20.033593893051147, 1359.136234998703, logging, False, 20-07-2023_23:50:49, False, False
0, 4, 2, 3, 0.12896, 0.14637, 0.33300, 0.11907, 0.78370, 0.97952, 0.39115, 0.36779, 0.39972, , 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.18801093101501465, 17.63209295272827, 1331.9375538825989, poaching, False, 21-07-2023_00:17:49, False, False
0, 4, 2, 3, 0.01958, 0.02449, 0.11057, 0.12925, 0.37086, 0.37464, 0.08926, 0.11745, 0.28762, , 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.7041163444519043, 21.70781397819519, 1390.8154549598694, logging, True, 21-07-2023_10:03:09, False, False
0, 4, 2, 3, 0.04720, 0.05944, 0.14515, 0.16751, 0.40267, 0.45271, 0.08552, 0.13027, 0.06321, 0.08754, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.20951175689697266, 20.58031177520752, 1597.4279527664185, poaching, True, 21-07-2023_10:35:29, False, False
0, 4, 2, 3, 0.00699, 0.06614, 0.12955, 0.16751, 0.45271, 0.31215, 0.13027, 0.11128, 0.08754, 0.08246, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.19971609115600586, 21.959325313568115, 1601.2357289791107, logging, True, 21-07-2023_21:00:53, False, False
0, 4, 2, 3, 0.04747, 0.02804, 0.14516, 0.16752, 0.40268, 0.45271, 0.07580, 0.13026, 0.07547, 0.08754, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.19580984115600586, 18.784826278686523, 1380.8265540599823, poaching, True, 21-07-2023_21:29:17, False, False
0, 4, 2, 3, 0.11196, 0.06717, 0.12956, 0.16751, 0.45272, 0.31215, 0.13028, 0.11128, 0.08753, 0.08245, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.20083832740783691, 21.05266308784485, 1320.2328600883484, logging, True, 22-07-2023_00:16:25, False, False
0, 4, 2, 3, 0.04723, 0.05780, 0.14515, 0.16751, 0.40268, 0.45272, 0.08673, 0.13027, 0.06321, 0.08753, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.1916179656982422, 17.823216676712036, 1368.2711470127106, poaching, True, 22-07-2023_00:46:58, False, False
0, 4, 2, 3, 0.11765, 0.06613, 0.12956, 0.16751, 0.45272, 0.31215, 0.13028, 0.11128, 0.08753, 0.08245, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.2549459934234619, 23.259616136550903, 1460.0461421012878, logging, True, 22-07-2023_18:19:38, False, False
0, 4, 2, 3, 0.04748, 0.05356, 0.14515, 0.16751, 0.40267, 0.45272, 0.07579, 0.13028, 0.07543, 0.08753, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.17654132843017578, 17.537943124771118, 1402.916869878769, poaching, True, 22-07-2023_18:51:05, False, False
0, 4, 2, 3, 0.11769, 0.06616, 0.12953, 0.16751, 0.45269, 0.31216, 0.13024, 0.11127, 0.08756, 0.08248, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.349323034286499, 34.27118897438049, 2350.0059130191803, logging, True, 22-07-2023_20:00:21, False, False
0, 4, 2, 3, 0.04795, 0.04669, 0.14516, 0.16751, 0.40267, 0.45270, 0.08675, 0.13026, 0.07155, 0.08755, 20, 50, 50, 5, 0, 2.0, 1, 1, True, 5, 5, 0.5669279098510742, 28.60365390777588, 1995.1571950912476, poaching, True, 22-07-2023_22:46:43, False, False
0, 4, 2, 3, -0.00000, -0.00000, 0.13002, 0.14104, 0.31593, 0.38118, 0.16638, 0.18380, 0.21763, 0.25574, 100, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 0.8203291893005371, 26.198978900909424, 2738.4016139507294, logging, True, 23-07-2023_02:29:50, False, False
0, 4, 2, 3, -0.00000, -0.00000, 0.12701, 0.14100, 0.36108, 0.38115, 0.18363, 0.13370, 0.25541, 0.21606, 100, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 1.4269521236419678, 44.92580008506775, 4830.392945289612, poaching, True, 23-07-2023_04:20:21, False, False
0, 9, 5, 3, 0.00922, 0.02093, 0.02922, 0.02210, 0.98306, 0.96448, 0.39287, 0.29463, 0.75275, 0.69510, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 0.46123409271240234, 30.029000997543335, 3145.664336204529, logging, True, 23-07-2023_11:40:54, False, False
0, 9, 5, 3, 0.12970, 0.05735, 0.30142, 0.10233, 0.82411, 1.15714, 0.22766, 0.32030, 0.55328, 0.44237, 20, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 0.21556925773620605, 30.455817937850952, 3076.202849149704, poaching, True, 23-07-2023_12:52:15, False, False
0, 4, 2, 3, 0.02020, 0.01872, 0.12578, 0.16751, 0.40267, 0.31216, 0.13028, 0.03722, 0.08753, 0.03767, 20, 50, 50, 2, 0,  2.0, 1, 1, True, 5, 5, 0.20126891136169434, 17.838937282562256, 408.59725069999695, logging, True, 24-07-2023_11:03:42, False, False
0, 4, 2, 1, 0.02392, 0.02472, 0.06600, 0.07455, 0.13942, 0.11011, 0.11669, 0.02924, 0.16050, 0.12303, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.08141374588012695, 17.347795009613037, 91.0003969669342, logging, True, 24-07-2023_12:55:48, False, False
0, 4, 2, 3, 0.02939, 0.08050, 0.12527, 0.20225, 0.40193, 0.60759, 0.15374, 0.13132, 0.07290, 0.20480, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.1978318691253662, 17.919066190719604, 404.3324451446533, logging, True, 25-07-2023_11:34:23, False, False
0, 4, 2, 3, 0.02343, 0.03985, 0.08833, 0.18998, 0.40267, 0.61487, 0.03722, 0.18897, 0.06320, 0.27472, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.19542908668518066, 17.28129482269287, 421.0098080635071, poaching, True, 25-07-2023_11:47:57, False, False
0, 4, 2, 3, 0.02342, 0.03985, 0.08834, 0.18999, 0.40267, 0.61488, 0.03722, 0.18896, 0.06320, 0.27475, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.19570684432983398, 19.026869773864746, 425.0373568534851, poaching, True, 25-07-2023_13:17:19, False, False
0, 4, 2, 3, 0.02343, 0.03985, 0.08833, 0.18998, 0.40267, 0.61487, 0.03723, 0.18896, 0.06320, 0.27472, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.19028782844543457, 19.419291973114014, 457.1499168872833, poaching, True, 25-07-2023_13:32:43, False, False
0, 4, 2, 3, -0.00000, 0.30017, 0.07490, 0.14086, 0.24494, 0.86284, 0.07513, 0.12708, 0.18022, 0.34646, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.8145236968994141, 18.407774925231934, 400.79228687286377, poaching, True, 25-07-2023_13:47:04, True, False
0, 4, 2, 3, 0.15181, 0.09469, 0.25434, 0.24737, 0.68737, 0.77448, 0.15207, 0.12849, 0.26268, 0.42070, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.6007893085479736, 18.881493091583252, 416.24082589149475, logging, True, 25-07-2023_14:07:55, True, False
0, 4, 2, 3, 0.07498, 0.13206, 0.26241, 0.20450, 0.79592, 0.68737, 0.09284, 0.15207, 0.47464, 0.30194, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.7115499973297119, 18.02546191215515, 425.56700110435486, poaching, True, 25-07-2023_14:25:26, True, False
0, 4, 1, 1, 0.03596, 0.06462, 0.08095, 0.20127, 0.06426, 0.10145, 0.12283, 0.18235, 0.10061, 0.16197, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.19610190391540527, 16.794273138046265, 85.172189950943, poaching, True, 25-07-2023_14:46:46, True, False
0, 4, 1, 1, 0.16537, 0.03445, 0.20127, 0.14076, 0.10145, 0.06426, 0.18235, 0.08957, 0.16197, 0.16043, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.14709687232971191, 15.32312297821045, 85.44032788276672, logging, True, 25-07-2023_14:49:31, True, False
0, 4, 2, 3, 0.04696, 0.07358, 0.10318, 0.14421, 0.19120, 0.90708, 0.06726, 0.18655, 0.30832, 0.26796, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.5830152034759521, 18.177945137023926, 419.10318303108215, logging, True, 25-07-2023_14:51:50, False, False
0, 4, 2, 3, -0.00000, 0.30017, 0.07489, 0.12725, 0.24494, 0.86283, 0.07510, 0.12707, 0.18023, 0.33286, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.5645711421966553, 17.98170804977417, 405.07996702194214, poaching, True, 25-07-2023_15:04:46, False, False
0, 4, 2, 1, -0.00000, 0.02401, 0.04958, 0.04489, 0.13399, 0.25648, 0.04656, 0.11890, 0.08358, 0.05739, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.15011882781982422, 14.70648980140686, 78.82999086380005, poaching, True, 25-07-2023_16:15:38, False, False
0, 25, 5, 3, 0.86561, 0.27942, 0.75198, 0.55605, 0.97133, 1.24682, 1.50718, 2.72314, 0.29651, 0.73196, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.7431259155273438, 30.930177211761475, 2667.2794444561005, logging, True, 26-07-2023_18:16:47, False, False
0, 25, 5, 3, 0.21764, 0.19274, 0.86517, 0.86278, 0.98304, 1.02549, 1.26066, 1.81275, 0.59454, 0.20211, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.3789689540863037, 26.227890729904175, 7969.942551851273, poaching, True, 26-07-2023_21:10:21, False, False
0, 25, 5, 3, 0.70107, 0.32192, 0.76102, 0.50195, 0.93824, 1.28692, 1.53478, 2.60376, 0.29504, 0.67758, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.5793540477752686, 28.36695694923401, 2722.9985449314117, logging, True, 26-07-2023_22:48:35, False, False
0, 100, 10, 3, 1.18820, -0.00000, 2.15674, 1.88460, 1.60202, 1.65980, 1.64037, -0.00000, 6.01813, 7.49363, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 3.4922289848327637, 35.87191081047058, 3173.1404662132263, logging, True, 26-07-2023_23:12:47, False, False
0, 100, 10, 3, 1.14119, -0.00000, 2.16840, 1.97602, 1.59315, 1.72559, 1.64424, -0.00000, 5.95421, 7.40885, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 21.116062879562378, 98.88051915168762, 24273.433838129044, logging, True, 27-07-2023_06:45:49, False, False
0, 25, 10, 3, 0.93947, -0.00000, 1.22502, 1.36371, 2.06698, 2.08641, 2.38874, 4.04796, -0.00000, 0.73152, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.5213141441345215, 36.94853925704956, 2866.7231171131134, logging, True, 27-07-2023_10:56:00, False, False
0, 25, 10, 3, 0.09266, 0.39158, 1.00376, 1.37684, 1.79545, 2.01685, 1.21572, 2.27317, 0.15682, 0.51405, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.788205146789551, 32.696759939193726, 3086.6005821228027, poaching, True, 27-07-2023_12:17:13, False, False
0, 4, 2, 1, 0.04181, 0.08942, 0.08069, 0.05935, 0.22309, 0.26989, 0.14368, 0.07040, 0.08647, 0.08435, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.22365617752075195, 17.492377996444702, 81.8045539855957, poaching, True, 03-08-2023_17:52:48, True, False
0, 4, 2, 1, 0.06351, 0.05555, 0.07857, 0.22427, 0.15793, 0.32638, 0.07393, 0.10527, 0.10012, 0.11763, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.19811582565307617, 17.87411379814148, 96.27222800254822, logging, True, 03-08-2023_17:59:29, True, False
0, 4, 2, 1, 0.01813, 0.10071, 0.08069, 0.05935, 0.20838, 0.26989, 0.14368, 0.07040, 0.08647, 0.08435, 20, 50, 50, 2, 0, 2.0, 1, 1, True, 5, 5, 0.1988530158996582, 21.550859689712524, 93.14841985702515, poaching, True, 03-08-2023_19:22:20, True, False
0, 16, 6, 3, -0.00000, -0.00000, 14.57065, 14.65320, -0.00000, -0.00000, 9.38071, 9.60646, 13.64882, 13.98443, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.9586141109466553, 28.002737045288086, 2646.609559059143, poaching, True, 03-08-2023_20:45:40, False, True
0, 16, 6, 3, -0.00000, -0.00000, 13.56691, 13.49794, -0.00000, -0.00000, 9.08599, 9.01011, 12.83357, 12.80512, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.7523319721221924, 32.3997061252594, 3221.8108270168304, logging, True, 03-08-2023_21:57:39, False, True
0, 9, 3, 3, -0.00000, -0.00000, 2.71610, 2.69688, -0.00000, -0.00000, 6.02771, 6.15997, 6.25747, 6.23583, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.8548550605773926, 33.90392208099365, 2521.21178483963, poaching, True, 03-08-2023_22:42:03, False, True
0, 9, 5, 1, 0.05547, 0.01142, 0.21052, 0.23903, 0.26273, 0.35023, 0.90571, 0.94747, 0.07618, 0.01807, 100, 200, 200, 5, 0, 2.0, 1, 1, True, 5, 5, 1.3727753162384033, 22.96701407432556, 1298.9234430789948, poaching, True, 03-08-2023_23:17:59, False, True
0, 9, 5, 1, -0.00000, -0.00000, 0.21634, 0.19473, 0.24984, 0.29931, 0.65516, 0.66383, 0.15352, 0.21651, 100, 200, 200, 5, 0, 2.0, 1, 1, True, 5, 5, 1.194512128829956, 20.55069589614868, 1140.1100549697876, logging, True, 03-08-2023_23:42:56, False, True
0, 9, 3, 3, -0.00000, -0.00000, 2.30445, 2.29537, -0.00000, -0.00000, 5.43241, 5.53821, 5.55016, 5.39074, 50, 100, 100, 5, 0, 2.0, 1, 1, True, 5, 5, 2.635141134262085, 30.497900009155273, 2673.4789700508118, logging, True, 03-08-2023_23:43:39, False, True
